symbol,name,index_code,index_name,as_of_date,exchange
000009,中国宝安,000905,中证500,2026-04-28,深圳证券交易所
000021,深科技,000905,中证500,2026-04-28,深圳证券交易所
000027,深圳能源,000905,中证500,2026-04-28,深圳证券交易所
000032,深桑达A,000905,中证500,2026-04-28,深圳证券交易所
000034,神州数码,000905,中证500,2026-04-28,深圳证券交易所
000039,中集集团,000905,中证500,2026-04-28,深圳证券交易所
000050,深天马A,000905,中证500,2026-04-28,深圳证券交易所
000060,中金岭南,000905,中证500,2026-04-28,深圳证券交易所
000062,深圳华强,000905,中证500,2026-04-28,深圳证券交易所
000088,盐田港,000905,中证500,2026-04-28,深圳证券交易所
000155,川能动力,000905,中证500,2026-04-28,深圳证券交易所
000400,许继电气,000905,中证500,2026-04-28,深圳证券交易所
000415,渤海租赁,000905,中证500,2026-04-28,深圳证券交易所
000423,东阿阿胶,000905,中证500,2026-04-28,深圳证券交易所
000426,兴业银锡,000905,中证500,2026-04-28,深圳证券交易所
000429,粤高速A,000905,中证500,2026-04-28,深圳证券交易所
000513,丽珠集团,000905,中证500,2026-04-28,深圳证券交易所
000519,中兵红箭,000905,中证500,2026-04-28,深圳证券交易所
000528,柳工,000905,中证500,2026-04-28,深圳证券交易所
000537,绿发电力,000905,中证500,2026-04-28,深圳证券交易所
000539,粤电力A,000905,中证500,2026-04-28,深圳证券交易所
000559,万向钱潮,000905,中证500,2026-04-28,深圳证券交易所
000563,陕国投A,000905,中证500,2026-04-28,深圳证券交易所
000582,北部湾港,000905,中证500,2026-04-28,深圳证券交易所
000591,太阳能,000905,中证500,2026-04-28,深圳证券交易所
000598,兴蓉环境,000905,中证500,2026-04-28,深圳证券交易所
000623,吉林敖东,000905,中证500,2026-04-28,深圳证券交易所
000629,钒钛股份,000905,中证500,2026-04-28,深圳证券交易所
000657,中钨高新,000905,中证500,2026-04-28,深圳证券交易所
000683,博源化工,000905,中证500,2026-04-28,深圳证券交易所
000703,恒逸石化,000905,中证500,2026-04-28,深圳证券交易所
000709,河钢股份,000905,中证500,2026-04-28,深圳证券交易所
000723,美锦能源,000905,中证500,2026-04-28,深圳证券交易所
000728,国元证券,000905,中证500,2026-04-28,深圳证券交易所
000729,燕京啤酒,000905,中证500,2026-04-28,深圳证券交易所
000733,振华科技,000905,中证500,2026-04-28,深圳证券交易所
000738,航发控制,000905,中证500,2026-04-28,深圳证券交易所
000739,普洛药业,000905,中证500,2026-04-28,深圳证券交易所
000750,国海证券,000905,中证500,2026-04-28,深圳证券交易所
000783,长江证券,000905,中证500,2026-04-28,深圳证券交易所
000785,居然智家,000905,中证500,2026-04-28,深圳证券交易所
000825,太钢不锈,000905,中证500,2026-04-28,深圳证券交易所
000830,鲁西化工,000905,中证500,2026-04-28,深圳证券交易所
000831,中国稀土,000905,中证500,2026-04-28,深圳证券交易所
000878,云南铜业,000905,中证500,2026-04-28,深圳证券交易所
000883,湖北能源,000905,中证500,2026-04-28,深圳证券交易所
000887,中鼎股份,000905,中证500,2026-04-28,深圳证券交易所
000893,亚钾国际,000905,中证500,2026-04-28,深圳证券交易所
000898,鞍钢股份,000905,中证500,2026-04-28,深圳证券交易所
000921,海信家电,000905,中证500,2026-04-28,深圳证券交易所
000932,华菱钢铁,000905,中证500,2026-04-28,深圳证券交易所
000933,神火股份,000905,中证500,2026-04-28,深圳证券交易所
000937,冀中能源,000905,中证500,2026-04-28,深圳证券交易所
000951,中国重汽,000905,中证500,2026-04-28,深圳证券交易所
000958,电投产融,000905,中证500,2026-04-28,深圳证券交易所
000959,首钢股份,000905,中证500,2026-04-28,深圳证券交易所
000960,锡业股份,000905,中证500,2026-04-28,深圳证券交易所
000967,盈峰环境,000905,中证500,2026-04-28,深圳证券交易所
000987,越秀资本,000905,中证500,2026-04-28,深圳证券交易所
000997,新 大 陆,000905,中证500,2026-04-28,深圳证券交易所
001213,中铁特货,000905,中证500,2026-04-28,深圳证券交易所
001221,悍高集团,000905,中证500,2026-04-28,深圳证券交易所
